SORA Publication Date,Compound SORA - 3 month
9.May.07,2.6095
10.May.07,2.6002
11.May.07,2.5904
14.May.07,2.5615
15.May.07,2.5529
16.May.07,2.5408
17.May.07,2.5277
18.May.07,2.5134
21.May.07,2.4669
22.May.07,2.4518
23.May.07,2.437
24.May.07,2.4267
25.May.07,2.4157
28.May.07,2.3889
29.May.07,2.3852
30.May.07,2.3814
1.Jun.07,2.3771
4.Jun.07,2.3538
5.Jun.07,2.345
6.Jun.07,2.3385
7.Jun.07,2.336
8.Jun.07,2.3358
11.Jun.07,2.3359
12.Jun.07,2.3365
13.Jun.07,2.3403
14.Jun.07,2.3457
15.Jun.07,2.3514
18.Jun.07,2.3377
19.Jun.07,2.329
20.Jun.07,2.319
21.Jun.07,2.311
22.Jun.07,2.3042
25.Jun.07,2.2841
26.Jun.07,2.2755
27.Jun.07,2.2684
28.Jun.07,2.2639
29.Jun.07,2.2641
2.Jul.07,2.2379
3.Jul.07,2.2304
4.Jul.07,2.2253
5.Jul.07,2.2218
6.Jul.07,2.2185
9.Jul.07,2.2079
10.Jul.07,2.2044
11.Jul.07,2.2023
12.Jul.07,2.2015
13.Jul.07,2.2009
16.Jul.07,2.1997
17.Jul.07,2.1996
18.Jul.07,2.2026
19.Jul.07,2.2072
20.Jul.07,2.2113
23.Jul.07,2.2175
24.Jul.07,2.217
25.Jul.07,2.216
26.Jul.07,2.2138
27.Jul.07,2.2123
30.Jul.07,2.2047
31.Jul.07,2.2058
1.Aug.07,2.2052
2.Aug.07,2.2041
3.Aug.07,2.205
6.Aug.07,2.1999
7.Aug.07,2.1975
8.Aug.07,2.1953
10.Aug.07,2.1937
13.Aug.07,2.2016
14.Aug.07,2.2042
15.Aug.07,2.2051
16.Aug.07,2.2088
17.Aug.07,2.2171
20.Aug.07,2.2428
21.Aug.07,2.2507
22.Aug.07,2.2564
23.Aug.07,2.2599
24.Aug.07,2.2593
27.Aug.07,2.2631
28.Aug.07,2.2644
29.Aug.07,2.2662
30.Aug.07,2.266
31.Aug.07,2.2653
3.Sep.07,2.2695
4.Sep.07,2.273
5.Sep.07,2.2748
6.Sep.07,2.2774
7.Sep.07,2.2814
10.Sep.07,2.2907
11.Sep.07,2.292
12.Sep.07,2.2929
13.Sep.07,2.2893
14.Sep.07,2.2865
17.Sep.07,2.2791
18.Sep.07,2.2769
19.Sep.07,2.2765
20.Sep.07,2.2777
21.Sep.07,2.2771
24.Sep.07,2.2775
25.Sep.07,2.2769
26.Sep.07,2.2784
27.Sep.07,2.2793
28.Sep.07,2.2806
1.Oct.07,2.2837
2.Oct.07,2.2823
3.Oct.07,2.2825
4.Oct.07,2.282
5.Oct.07,2.2805
8.Oct.07,2.2736
9.Oct.07,2.2719
10.Oct.07,2.2713
11.Oct.07,2.271
12.Oct.07,2.2696
15.Oct.07,2.2653
16.Oct.07,2.2645
17.Oct.07,2.2648
18.Oct.07,2.2671
19.Oct.07,2.2698
22.Oct.07,2.2759
23.Oct.07,2.2765
24.Oct.07,2.2757
25.Oct.07,2.2697
26.Oct.07,2.2657
29.Oct.07,2.26
30.Oct.07,2.259
31.Oct.07,2.2585
1.Nov.07,2.2575
2.Nov.07,2.2569
5.Nov.07,2.2565
6.Nov.07,2.2539
7.Nov.07,2.2449
9.Nov.07,2.2126
12.Nov.07,2.1919
13.Nov.07,2.187
14.Nov.07,2.1809
15.Nov.07,2.1741
16.Nov.07,2.1668
19.Nov.07,2.135
20.Nov.07,2.1249
21.Nov.07,2.1159
22.Nov.07,2.1088
23.Nov.07,2.1055
26.Nov.07,2.0965
27.Nov.07,2.0911
28.Nov.07,2.084
29.Nov.07,2.0736
30.Nov.07,2.0625
3.Dec.07,2.0178
4.Dec.07,1.9989
5.Dec.07,1.9817
6.Dec.07,1.9625
7.Dec.07,1.9455
10.Dec.07,1.8972
11.Dec.07,1.8818
12.Dec.07,1.8669
13.Dec.07,1.8566
14.Dec.07,1.8479
17.Dec.07,1.8324
18.Dec.07,1.8267
19.Dec.07,1.8145
21.Dec.07,1.7793
24.Dec.07,1.7285
26.Dec.07,1.6942
27.Dec.07,1.6777
28.Dec.07,1.6597
31.Dec.07,1.6103
2.Jan.08,1.5836
3.Jan.08,1.5713
4.Jan.08,1.5584
7.Jan.08,1.5133
8.Jan.08,1.4984
9.Jan.08,1.4838
10.Jan.08,1.4705
11.Jan.08,1.4564
14.Jan.08,1.4215
15.Jan.08,1.4103
16.Jan.08,1.3994
17.Jan.08,1.3885
18.Jan.08,1.3759
21.Jan.08,1.3409
22.Jan.08,1.3296
23.Jan.08,1.3199
24.Jan.08,1.31
25.Jan.08,1.3048
28.Jan.08,1.2827
29.Jan.08,1.276
30.Jan.08,1.2718
31.Jan.08,1.2665
